央视频道,#genre#
CCTV9,http://154.201.91.7:5555/tvbox/%E5%85%AC%E4%BC%97%E5%8F%B7%E5%A5%BD%E4%BA%AB%E7%94%9F%E6%B4%BB%E5%B0%8F%E5%8A%A9%E6%89%8B/%E5%92%AA%E5%92%95/%E5%92%AA%E5%92%95.php?ID=16016_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV10,http://154.201.91.7:5555/tvbox/%E5%85%AC%E4%BC%97%E5%8F%B7%E5%A5%BD%E4%BA%AB%E7%94%9F%E6%B4%BB%E5%B0%8F%E5%8A%A9%E6%89%8B/%E5%92%AA%E5%92%95/%E5%92%AA%E5%92%95.php?ID=16017_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV11,http://154.201.91.7:5555/tvbox/%E5%85%AC%E4%BC%97%E5%8F%B7%E5%A5%BD%E4%BA%AB%E7%94%9F%E6%B4%BB%E5%B0%8F%E5%8A%A9%E6%89%8B/%E5%92%AA%E5%92%95/%E5%92%AA%E5%92%95.php?ID=16018_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV12,http://154.201.91.7:5555/tvbox/%E5%85%AC%E4%BC%97%E5%8F%B7%E5%A5%BD%E4%BA%AB%E7%94%9F%E6%B4%BB%E5%B0%8F%E5%8A%A9%E6%89%8B/%E5%92%AA%E5%92%95/%E5%92%AA%E5%92%95.php?ID=16019_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV13,http://154.201.91.7:5555/tvbox/%E5%85%AC%E4%BC%97%E5%8F%B7%E5%A5%BD%E4%BA%AB%E7%94%9F%E6%B4%BB%E5%B0%8F%E5%8A%A9%E6%89%8B/%E5%92%AA%E5%92%95/%E5%92%AA%E5%92%95.php?ID=16020_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV14,http://154.201.91.7:5555/tvbox/%E5%85%AC%E4%BC%97%E5%8F%B7%E5%A5%BD%E4%BA%AB%E7%94%9F%E6%B4%BB%E5%B0%8F%E5%8A%A9%E6%89%8B/%E5%92%AA%E5%92%95/%E5%92%AA%E5%92%95.php?ID=16021_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV15,http://154.201.91.7:5555/tvbox/%E5%85%AC%E4%BC%97%E5%8F%B7%E5%A5%BD%E4%BA%AB%E7%94%9F%E6%B4%BB%E5%B0%8F%E5%8A%A9%E6%89%8B/%E5%92%AA%E5%92%95/%E5%92%AA%E5%92%95.php?ID=16022_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV16,http://154.201.91.7:5555/tvbox/%E5%85%AC%E4%BC%97%E5%8F%B7%E5%A5%BD%E4%BA%AB%E7%94%9F%E6%B4%BB%E5%B0%8F%E5%8A%A9%E6%89%8B/%E5%92%AA%E5%92%95/%E5%92%AA%E5%92%95.php?ID=16023_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV17,http://154.201.91.7:5555/tvbox/%E5%85%AC%E4%BC%97%E5%8F%B7%E5%A5%BD%E4%BA%AB%E7%94%9F%E6%B4%BB%E5%B0%8F%E5%8A%A9%E6%89%8B/%E5%92%AA%E5%92%95/%E5%92%AA%E5%92%95.php?ID=16024_1.m3u8?key=txiptv&playlive=1&authid=0

CCTV1综合,https://60.191.56.186:8888/hls/1/index.m3u8
CCTV2财经,https://60.191.56.186:8888/hls/2/index.m3u8
CCTV3综艺,https://60.191.56.186:8888/hls/3/index.m3u8
CCTV4中文国际,https://60.191.56.186:8888/hls/4/index.m3u8
CCTV5体育,https://60.191.56.186:8888/hls/5/index.m3u8
CCTV6电影,https://60.191.56.186:8888/hls/6/index.m3u8
CCTV7国防军事,https://60.191.56.186:8888/hls/7/index.m3u8
CCTV8电视剧,https://60.191.56.186:8888/hls/8/index.m3u8
CCTV9纪录,https://60.191.56.186:8888/hls/9/index.m3u8
CCTV10科教,https://60.191.56.186:8888/hls/10/index.m3u8
CCTV11戏曲,https://60.191.56.186:8888/hls/11/index.m3u8
CCTV12社会与法,https://60.191.56.186:8888/hls/12/index.m3u8
CCTV13新闻,https://60.191.56.186:8888/hls/13/index.m3u8
CCTV15音乐,https://60.191.56.186:8888/hls/14/index.m3u8
CCTV5+体育赛事,https://60.191.56.186:8888/hls/15/index.m3u8
CCTV16奥林匹克,https://60.191.56.186:8888/hls/16/index.m3u8
CCTV1综合,https://60.191.56.186:8888/hls/40/index.m3u8

CCTV1综合,http://58.56.171.146:51790/tsfile/live/0001_1.m3u8
CCTV2财经,http://58.56.171.146:51790/tsfile/live/0002_1.m3u8
CCTV3综艺,http://58.56.171.146:51790/tsfile/live/0003_1.m3u8
CCTV4中文国际,http://58.56.171.146:51790/tsfile/live/1001_1.m3u8
CCTV5体育,http://58.56.171.146:51790/tsfile/live/0005_1.m3u8
CCTV5+体育赛事,http://58.56.171.146:51790/tsfile/live/1002_1.m3u8
CCTV6电影,http://58.56.171.146:51790/tsfile/live/0006_1.m3u8
CCTV7国防军事,http://58.56.171.146:51790/tsfile/live/0007_1.m3u8
CCTV8电视剧,http://58.56.171.146:51790/tsfile/live/0008_1.m3u8
CCTV9纪录,http://58.56.171.146:51790/tsfile/live/1004_1.m3u8
CCTV10科教,http://58.56.171.146:51790/tsfile/live/0010_1.m3u8
CCTV11戏曲,http://58.56.171.146:51790/tsfile/live/0011_1.m3u8
CCTV12社会与法,http://58.56.171.146:51790/tsfile/live/0012_1.m3u8
CCTV13新闻,http://58.56.171.146:51790/tsfile/live/0013_1.m3u8
CCTV14少儿,http://58.56.171.146:51790/tsfile/live/0014_1.m3u8
CCTV15音乐,http://58.56.171.146:51790/tsfile/live/0015_1.m3u8
CCTV16奥林匹克,http://110.177.144.14:9003/hls/17/index.m3u8

CCTV1综合,http://218.94.31.154:1111/tsfile/live/0001_1.m3u8
CCTV2财经,http://218.94.31.154:1111/tsfile/live/0002_1.m3u8
CCTV3综艺,http://218.94.31.154:1111/tsfile/live/0003_1.m3u8
CCTV4中文国际,http://218.94.31.154:1111/tsfile/live/0004_1.m3u8
CCTV5体育,http://218.94.31.154:1111/tsfile/live/0005_1.m3u8
CCTV5+体育赛事,http://218.94.31.154:1111/tsfile/live/0001_5+.m3u8
CCTV6电影,http://218.94.31.154:1111/tsfile/live/0006_1.m3u8
CCTV7国防军事,http://218.94.31.154:1111/tsfile/live/0007_1.m3u8
CCTV8电视剧,http://218.94.31.154:1111/tsfile/live/0008_1.m3u8
CCTV9纪录,http://218.94.31.154:1111/tsfile/live/0009_1.m3u8
CCTV10科教,http://218.94.31.154:1111/tsfile/live/0010_1.m3u8
CCTV11戏曲,http://218.94.31.154:1111/tsfile/live/0011_1.m3u8
CCTV12社会与法,http://218.94.31.154:1111/tsfile/live/0012_1.m3u8
CCTV13新闻,http://218.94.31.154:1111/tsfile/live/0013_1.m3u8
CCTV14少儿,http://218.94.31.154:1111/tsfile/live/0014_1.m3u8
CCTV15音乐,http://218.94.31.154:1111/tsfile/live/0015_1.m3u8

CCTV1综合,http://218.94.31.154:1111/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV2财经,http://218.94.31.154:1111/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV3综艺,http://218.94.31.154:1111/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV4中文国际,http://218.94.31.154:1111/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5体育,http://218.94.31.154:1111/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV6电影,http://218.94.31.154:1111/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV7国防军事,http://218.94.31.154:1111/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV8电视剧,http://218.94.31.154:1111/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV9纪录,http://218.94.31.154:1111/tsfile/live/0009_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV10科教,http://218.94.31.154:1111/tsfile/live/0010_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV11戏曲,http://218.94.31.154:1111/tsfile/live/0011_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV12社会与法,http://218.94.31.154:1111/tsfile/live/0012_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV13新闻,http://218.94.31.154:1111/tsfile/live/0013_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV14少儿,http://218.94.31.154:1111/tsfile/live/0014_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV15音乐,http://218.94.31.154:1111/tsfile/live/0015_1.m3u8?key=txiptv&playlive=1&authid=0


CCTV1综合,http://120.198.234.196:8088/000000001001PLTV/651/224/3221227563/1.m3u8?HlsProfileId=1
CCTV2财经,http://120.198.234.196:8088/000000001001PLTV/651/224/3221227600/1.m3u8?HlsProfileId=1
CCTV3综艺,http://120.198.234.196:8088/000000001001PLTV/651/224/3221227602/1.m3u8?HlsProfileId=1
CCTV4中文国际,http://120.196.232.124:8088/000000001001PLTV/651/224/3221227637/1.m3u8?HlsProfileId=
CCTV5体育,http://120.196.232.124:8088/000000001001PLTV/651/224/3221227604/1.m3u8?HlsProfileId=$1080p
CCTV5+体育赛事,http://120.198.234.196:8088/000000001001PLTV/651/224/3221227567/1.m3u8?HlsProfileId=1

CCTV6电影,http://120.198.234.196:8088/000000001001PLTV/651/224/3221227606/1.m3u8?HlsProfileId=1
CCTV7国防军事,http://120.196.232.124:8088/000000001001PLTV/651/224/3221227648/1.m3u8?HlsProfileId=$1080p
CCTV8电视剧,http://120.198.234.196:8088/000000001001PLTV/651/224/3221227571/1.m3u8?HlsProfileId=1
CCTV9纪录,http://120.196.232.124:8088/000000001001PLTV/651/224/3221227570/1.m3u8?HlsProfileId=$1080p
CCTV10科教,http://120.198.234.196:8088/000000001001PLTV/651/224/3221227559/1.m3u8?HlsProfileId=1
CCTV12社会与法,http://120.196.232.124:8088/000000001001PLTV/651/224/3221227562/1.m3u8?HlsProfileId=$1080p
CCTV13新闻,http://120.198.234.196:8088/000000001001PLTV/651/224/3221227598/1.m3u8?HlsProfileId=1
CCTV14少儿,http://120.198.234.196:8088/000000001001PLTV/651/224/3221227535/1.m3u8?HlsProfileId=1
CCTV14少儿,http://120.198.234.196:8088/000000001001PLTV/651/224/3221227564/1.m3u8?HlsProfileId=1

CCTV16奥林匹克,http://120.198.234.196:8088/000000001001PLTV/651/224/3221227840/1.m3u8?HlsProfileId=1
CCTV17农业农村,http://120.198.234.196:8088/000000001001PLTV/651/224/3221227568/1.m3u8?HlsProfileId=1
CGTN,http://120.198.234.196:8088/000000001001PLTV/651/224/3221227650/1.m3u8?HlsProfileId=1



CCTV1综合,http://110.177.144.14:9003/hls/1/index.m3u8
CCTV2财经,http://110.177.144.14:9003/hls/2/index.m3u8
CCTV3综艺,http://110.177.144.14:9003/hls/3/index.m3u8
CCTV4中文国际,http://110.177.144.14:9003/hls/4/index.m3u8
CCTV5体育,http://110.177.144.14:9003/hls/5/index.m3u8
CCTV6电影,http://110.177.144.14:9003/hls/7/index.m3u8
CCTV7国防军事,http://110.177.144.14:9003/hls/8/index.m3u8
CCTV8电视剧,http://110.177.144.14:9003/hls/9/index.m3u8
CCTV9纪录,http://110.177.144.14:9003/hls/10/index.m3u8
CCTV10科教,http://110.177.144.14:9003/hls/11/index.m3u8
CCTV11戏曲,http://110.177.144.14:9003/hls/12/index.m3u8
CCTV12社会与法,http://110.177.144.14:9003/hls/13/index.m3u8
CCTV13新闻,http://110.177.144.14:9003/hls/14/index.m3u8
